CustomerActionDateTimeUtc;CustomerActionCustomerIdsCustomerID;CustomerActionOrderTotalPrice;CustomerActionOrderIdsBackofficeID
10.07.2021 17:08;181692;6531;94110766
10.07.2021 7:43;182784;4413;94071877
10.07.2021 11:36;182795;7961;93854854
11.07.2021 12:21;184243;3336;94112716
10.07.2021 6:10;184374;6843;94092275
10.07.2021 8:08;184864;2551;94105295
09.07.2021 17:14;184864;3428;94088294
11.07.2021 20:19;185904;3859;93987631
11.07.2021 19:19;187929;8112;94131739
11.07.2021 12:51;190102;5188;94115224
10.07.2021 13:32;190262;4504;93649608
10.07.2021 15:27;190399;1342;94112884
11.07.2021 9:35;190682;2639;93544985
09.07.2021 20:59;190782;4814;94096273
10.07.2021 21:25;191566;3415;94105365
09.07.2021 20:42;192192;3696;94072112
11.07.2021 15:02;192267;1496;94124610
09.07.2021 14:15;192359;4820;94090665
11.07.2021 19:09;194814;4913;94123482
11.07.2021 3:48;196364;6852;93696846
11.07.2021 12:22;196379;4260;94124042
09.07.2021 20:38;196746;1602;94074816
11.07.2021 4:26;196885;4917;94114932
11.07.2021 13:26;197476;6566;94123692
10.07.2021 11:03;197927;3644;94096647
11.07.2021 6:50;202796;3137;94117988
10.07.2021 7:02;202909;4042;94099467
11.07.2021 9:38;203015;5976;93679603
11.07.2021 10:25;204719;10958;94111254
10.07.2021 18:20;205687;2491;93775191
11.07.2021 4:46;207151;5224;94120384
09.07.2021 21:47;207364;3291;94083294
10.07.2021 10:34;207938;4157;94097718
10.07.2021 7:31;208010;6163;94098715
09.07.2021 18:32;208307;6655;93958327
10.07.2021 13:46;208356;4571;94110047
11.07.2021 7:56;208937;11502;94118928
10.07.2021 7:28;209507;9894;94098067
11.07.2021 7:59;209605;7248;94113524
11.07.2021 12:33;210813;4024;94121750
09.07.2021 18:35;211504;6896;94065926
09.07.2021 14:53;212241;4873;94090358
11.07.2021 12:37;212831;5338;94122985
10.07.2021 4:45;212900;3648;93906962
09.07.2021 18:01;213055;2372;94093364
11.07.2021 4:23;214206;6266;94109603
11.07.2021 12:41;214485;4077;94123863
10.07.2021 5:27;214703;1575;94097878
09.07.2021 7:12;214932;5866;94077800
10.07.2021 13:38;216491;3613;93966928
11.07.2021 12:53;216815;2058;94100396
11.07.2021 17:52;217667;2634;94130384
11.07.2021 6:35;218101;4098;94107668
11.07.2021 18:23;218331;1336;94129503
09.07.2021 12:42;218495;6380;94084967
10.07.2021 6:33;219358;2180;94091373
09.07.2021 11:49;219614;4754;94075993
11.07.2021 15:58;219865;2526;93973381
10.07.2021 8:16;220386;6423;94091744
11.07.2021 5:12;220539;6011;94118188
10.07.2021 17:51;221279;2432;93921885
09.07.2021 19:30;221589;4687;94091619
11.07.2021 9:12;222328;5423;94072803
10.07.2021 12:05;222469;2561;94107246
10.07.2021 6:47;222485;5046;94071544
10.07.2021 18:51;222762;7954;94110914
11.07.2021 17:20;222978;8743;93681664
11.07.2021 11:20;223468;2249;94108111
10.07.2021 16:21;224688;6057;94110755
11.07.2021 8:18;224804;6670,25;94091596
09.07.2021 18:15;224845;6445;94010330
10.07.2021 5:41;225258;1584;94091702
11.07.2021 9:13;225574;5028;93832625
11.07.2021 16:39;225575;6889;94001661
